,vmid,subscriptionid,deploymentid,vmcreated,vmdeleted,maxcpu,avgcpu,p95maxcpu,vmcategory,vmcorecountbucket,vmmemorybucket,lifetime,corehour,target,delmaxavg,delmaxp95,delp95avg,kmeans,gm,p95avgcpuslope
311,XpTL07/3itkUclfOTvI2nBD49+uCBCAUD5jx7El/4YhAKQ0gtFLzIoTzr49Riuro,1owRC8fAiTkftDDmemUYdXtzzmnuOoKN1keoqCE0SkllaUvtc8yDMIA7uUAEYACL,wF4pyvXjYtMJhv0a6RW2YwBaXe4kCV5ufAPQZIyvxS+N+8alWgK0JcjiGctITRGjak96cwxBJ7UZS8baBtRcIA==,0,2591400,98.68072194732557,1.131831734495894,1.1062862302513048,Delay-insensitive,4,32,719.8333333333334,2879.333333333333,1,97.54889021282968,97.57443571707428,-0.0255455042445891,0,1,0.9774299452241751
320,cFHdzRkmxhKWOVCWwHjtRH9TVHVkwtnCb7WlXKI7bCdm6secv191D8ax80aJfYvW,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3CnOr5me+lMYKVQ7v5tDnIww==,85500,2591400,97.8837366584896,1.812271820198883,1.7531218042985224,Delay-insensitive,4,32,696.0833333333334,2784.333333333333,1,96.07146483829072,96.13061485419108,-0.0591500159003606,0,1,0.9673613995201507
339,FXoWmAfKugZ5oYGzaouQN/szW03kSA2RayVC+YjKo8Xq0lQ/zzHI0ZnCnCC21Bj8,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3CnOr5me+lMYKVQ7v5tDnIww==,85200,2591400,98.18713790158576,2.1528269131522086,1.810390482881748,Delay-insensitive,4,32,696.1666666666666,2784.6666666666665,1,96.03431098843356,96.376747418704,-0.3424364302704605,0,1,0.8409363854667448
352,NROpQWeBdaOZoFcP8ZAh11m3Nb6jFEpjW/A6/TUtrZoM5a+vBy9rrR1jFoYrwnoH,1WfZjuwNwiIBI7l8YNvl9aumxYJ4k6w77mp9HAXnlMZ7ggEKCu27VVX0j8u8sN1U,K8lAQjGTDJ2gvxuTHVAgUCBO2avCPOjvACbJDpl+XGEeuXgAJUoPPUV6inyMAD0gPlgt+4Z0HqwEXF8NleXF/w==,1500,2591400,98.02877985977302,2.6220460166535005,2.5747680648203755,Delay-insensitive,2,8,719.4166666666666,1438.8333333333333,1,95.40673384311953,95.45401179495263,-0.047277951833125,0,2,0.9819690609803006
399,bImCpIMf2HKgje7Dhiny++Km4PB/Q4upcjrH/bitFIJTmUNxeN3L2BPGhf53Fl2c,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3CnOr5me+lMYKVQ7v5tDnIww==,84900,2591400,98.1514793436121,1.6639664250386206,1.6181708050847237,Delay-insensitive,4,32,696.25,2785.0,1,96.48751291857349,96.53330853852736,-0.0457956199538969,0,1,0.9724780384599202
410,l93uKkSTv8kpeTaz+6RQfgXIIhW8MRm+jdX6qZUiWKtaBa6H6IsuO3KoXA42ZHQ/,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3C0RDcl+iWmWhT3Fk+kQMvWQ==,28800,2591400,99.01540954353368,1.983991901222056,1.846782536617584,Delay-insensitive,4,32,711.8333333333334,2847.333333333333,1,97.03141764231164,97.16862700691613,-0.137209364604472,0,1,0.9308417718237879
416,QGVbzPr/R4zskVaNP4DPrWinrF9CaXa7gP8QHRS1vINMpD7ofg8Dd3D4J0WQ7bg7,3DZGAs7TIHrlOxgED474jTgycVA2zuuE1/LqiSFvmA6PHDXRTWznnsopHMEe6Vz6,UMMlBKjRJDqL8IMCgg4A18ZGGzGhxO9ji/P2Y5g4iv8X191TNFm+bnO6hz4uPW61BBmNJCb7mRJ6GZxljOdw2A==,0,2591400,94.53758715854696,1.5603382727478956,1.4219294157264273,Delay-insensitive,2,8,719.8333333333334,1439.6666666666667,1,92.97724888579906,93.11565774282052,-0.1384088570214683,0,2,0.9112956084979458
428,rr2y46iWRII1abo5vnCXmFH7+7Ovuzmav2wK5Zt2u4tJIshokXNiToExNigsIh1E,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3C0RDcl+iWmWhT3Fk+kQMvWQ==,65700,2591400,95.72738329421824,2.118523768152952,2.0001176479603,Delay-insensitive,4,32,701.5833333333334,2806.333333333333,1,93.60885952606527,93.72726564625796,-0.118406120192652,0,1,0.9441091377058822
508,VmgiCwYcPyuVKNKLhzm6xUxJ4jsMK8T6YG93Pi3zQs/VZ5iahHCByIcloZWJHGSg,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3CnOr5me+lMYKVQ7v5tDnIww==,85200,2591400,98.14992268822016,1.7380651202282795,1.620264096837807,Delay-insensitive,4,32,696.1666666666666,2784.6666666666665,1,96.41185756799187,96.52965859138236,-0.1178010233904724,0,1,0.9322228942866074
509,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3C0RDcl+iWmWhT3Fk+kQMvWQ==,65400,2591400,97.28018845236969,2.1062675052901088,1.9787621539742075,Delay-insensitive,4,32,701.6666666666666,2806.6666666666665,1,95.17392094707958,95.30142629839548,-0.1275053513159012,0,1,0.939463837809937
521,/b+duBkmUYq/J6XVLwkrTRNR67dEYAXUA6uXXL+n5YVGCtl9X5p1hOF3yy+4r15D,AyOygv/Khtx/RfV9dwpc4aBGr4WkINae0j4sLN04gVBfCxVmxDqJGBuVe4boce2Z,8lQ3DLwM4COIVNagnGAMicxYVCQX1LXLkaT4ewcjs0hLr4spKzVS+6G+N0W3qulcQN8LuriBov0TWpYDsqbOFw==,0,2591400,99.48903305666826,0.3963497548613157,0.3888921739090094,Delay-insensitive,2,2,719.8333333333334,1439.6666666666667,1,99.09268330180694,99.10014088275923,-0.0074575809523063,0,1,0.9811843432200034
525,KxsOjS16uUQHzMcaCAw/0auAXsRsyJrl/OWMA4j2cuYkKCXW6ks8F35t1nSUwGXQ,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3CnOr5me+lMYKVQ7v5tDnIww==,85200,2591400,97.73314250052368,1.9631402519218064,1.92296476308708,Delay-insensitive,4,32,696.1666666666666,2784.6666666666665,1,95.77000224860188,95.8101777374366,-0.0401754888347267,0,1,0.9795350898666579
