,timestamp,vm_id,min_cpu,max_cpu,avg_cpu
250,9900,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1806823264843173,0.2453961833243936,0.2073751160144848
259,10200,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1771925872596045,0.2654280181426632,0.2121226502966273
268,10500,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1758832985932065,0.2569414864059988,0.2008073241583395
276,10800,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1766682701502106,0.2409778085154434,0.2017358965479304
284,11100,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1662999365499332,0.2404949881100493,0.2027586103426419
292,11400,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1838515775084162,0.2503265479910108,0.2130378252484317
300,11700,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1735021648880391,0.2261038553248375,0.1950040243723221
308,12000,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1888096789380422,0.2344915527461879,0.2116750702178967
316,12300,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1681772121675256,0.2563730950618877,0.2058159567886049
324,12600,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1743360740674491,0.2313701812981079,0.1966429283352807
331,12900,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1609681422934235,0.2162876450267234,0.1946174129042846
338,13200,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1790856073854251,0.2581876708984399,0.2187696330818136
