,timestamp,vm_id,min_cpu,max_cpu,avg_cpu
2249,65400,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.2242034225527683,0.4541305746086548,0.3449196408072744
2263,65700,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.1699003056936144,18.51625005380969,2.722636892572232
2279,66000,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.8161827847856231,16.87789100829971,2.599959790486453
2295,66300,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.7629843480677903,1.4501962501052967,1.084135471199452
2312,66600,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,1.0350980635530458,96.31921006389966,21.221343557104174
2328,66900,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.8793526633889914,14.373169623013796,3.8132549525895727
2345,67200,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.8216104327084728,1.4266428106364832,1.1006695311164103
2361,67500,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6408738490114775,1.5451150062367278,0.9580995340438608
2376,67800,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6409884639861978,1.070291468887639,0.7870728016095134
2390,68100,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6607816499099155,0.977393868607206,0.7872640468316956
2404,68400,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.621425531792611,1.0427832484445008,0.7959659349890462
2419,68700,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.5872921446912741,1.0619986714067102,0.791792396014576
2434,69000,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.5959598782337927,1.040750603195299,0.7913194086463267
2449,69300,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6001087319560618,1.0858928081275552,0.7916397695290752
2464,69600,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6626089660832085,1.1176602255912915,0.8009253968104767
2479,69900,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6197712127824375,1.051246660479511,0.8017996852671032
2495,70200,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6028401524259076,1.024218621895483,0.7904624629173027
2511,70500,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6688287728079533,1.083371801678483,0.7860796791812495
2528,70800,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6234966269153122,1.07614449128439,0.7966792036133258
2545,71100,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6297966343800953,1.0956165377620928,0.8012838439914702
2562,71400,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.5811091202862227,1.0185783830750523,0.8065372418633338
2579,71700,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6037002650560298,0.9961702771933276,0.7931564634380698
2596,72000,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6118091437293158,1.0461728073256171,0.7931777639489552
2614,72300,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.5859109577998121,1.0513961027026315,0.7924493909200454
2632,72600,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6094399189875808,1.0784314402407136,0.8016012470076529
2649,72900,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6283991339550321,1.0707115707483184,0.8018470898504975
2665,73200,gQI5vMY9+5Al0VB75TauNTv3cQsFymksKJt1NG/q8XH82BCZZluhSwjecXJdj0aH,0.6570028323091358,1.0890598642479563,0.7993993099793663
